TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,WAPRICE,NOMINAL
SGD,2016-07-27,,,,48.4243,,,1
TJS,2016-07-27,,,,83.8531,,,10
TMT,2016-07-27,,,,19.5657,,,1
TRY,2016-07-27,,,,21.626,,,1
UAH,2016-07-27,,,,26.5271,,,10
USD,2016-07-27,,,,65.7408,,,1
UZS,2016-07-27,,,,22.2323,,,1000
XDR,2016-07-27,,,,91.0135,,,1
ZAR,2016-07-27,,,,45.6609,,,10
AMD,2016-07-28,,,,13.8398,,,100
AUD,2016-07-28,,,,49.3677,,,1
AZN,2016-07-28,,,,41.3874,,,1
BGN,2016-07-28,,,,37.0862,,,1
BRL,2016-07-28,,,,20.1235,,,1
BYN,2016-07-28,,,,33.056,,,1
CAD,2016-07-28,,,,50.0127,,,1
CHF,2016-07-28,,,,66.3782,,,1
CNY,2016-07-28,,,,98.8795,,,10
CZK,2016-07-28,,,,26.8442,,,10
DKK,2016-07-28,,,,97.5182,,,10
EUR,2016-07-28,,,,72.515,,,1
GBP,2016-07-28,,,,86.5946,,,1
HUF,2016-07-28,,,,23.1672,,,100
INR,2016-07-28,,,,98.1934,,,100
JPY,2016-07-28,,,,62.5117,,,100
KGS,2016-07-28,,,,98.2047,,,100
KRW,2016-07-28,,,,58.0596,,,1000
KZT,2016-07-28,,,,18.7349,,,100
MDL,2016-07-28,,,,33.3401,,,10
NOK,2016-07-28,,,,76.8852,,,10
PLN,2016-07-28,,,,16.6108,,,1
RON,2016-07-28,,,,16.239,,,1
SEK,2016-07-28,,,,76.0675,,,10
SGD,2016-07-28,,,,48.5759,,,1
TJS,2016-07-28,,,,83.8217,,,10
TMT,2016-07-28,,,,19.627,,,1
TRY,2016-07-28,,,,21.7087,,,1
UAH,2016-07-28,,,,26.5807,,,10
USD,2016-07-28,,,,65.9467,,,1
UZS,2016-07-28,,,,22.317,,,1000
XDR,2016-07-28,,,,91.4602,,,1
ZAR,2016-07-28,,,,46.1728,,,10
AMD,2016-07-29,,,,13.8601,,,100
AUD,2016-07-29,,,,49.8951,,,1
AZN,2016-07-29,,,,41.3798,,,1
BGN,2016-07-29,,,,37.5469,,,1
BRL,2016-07-29,,,,20.2712,,,1
BYN,2016-07-29,,,,33.214,,,1
CAD,2016-07-29,,,,50.3753,,,1
CHF,2016-07-29,,,,67.249,,,1
CNY,2016-07-29,,,,99.3113,,,10
CZK,2016-07-29,,,,27.1643,,,10
DKK,2016-07-29,,,,98.7284,,,10
EUR,2016-07-29,,,,73.4047,,,1
GBP,2016-07-29,,,,87.3478,,,1
HUF,2016-07-29,,,,23.4666,,,100
INR,2016-07-29,,,,98.6165,,,100
JPY,2016-07-29,,,,63.1176,,,100
KGS,2016-07-29,,,,98.4516,,,100
KRW,2016-07-29,,,,58.7599,,,1000
KZT,2016-07-29,,,,18.7102,,,100
MDL,2016-07-29,,,,33.5086,,,10
NOK,2016-07-29,,,,77.7995,,,10
PLN,2016-07-29,,,,16.782,,,1
RON,2016-07-29,,,,16.4656,,,1
SEK,2016-07-29,,,,77.0192,,,10
SGD,2016-07-29,,,,48.9831,,,1
TJS,2016-07-29,,,,84.1126,,,10
TMT,2016-07-29,,,,19.6793,,,1
TRY,2016-07-29,,,,21.9206,,,1
UAH,2016-07-29,,,,26.6583,,,10
USD,2016-07-29,,,,66.1125,,,1
UZS,2016-07-29,,,,22.3882,,,1000
XDR,2016-07-29,,,,91.5751,,,1
ZAR,2016-07-29,,,,46.5378,,,10
AMD,2016-07-30,,,,14.0569,,,100
AUD,2016-07-30,,,,50.275,,,1
AZN,2016-07-30,,,,41.8808,,,1
BGN,2016-07-30,,,,38.0324,,,1
BRL,2016-07-30,,,,20.3822,,,1
BYN,2016-07-30,,,,33.618,,,1
CAD,2016-07-30,,,,50.885,,,1
CHF,2016-07-30,,,,68.5805,,,1
CNY,2016-07-30,,,,10.0753,,,1
CZK,2016-07-30,,,,27.4913,,,10
DKK,2016-07-30,,,,99.9899,,,10
EUR,2016-07-30,,,,74.3799,,,1
GBP,2016-07-30,,,,88.3534,,,1
HUF,2016-07-30,,,,23.8163,,,100
INR,2016-07-30,,,,99.9832,,,100
JPY,2016-07-30,,,,64.5934,,,100
KGS,2016-07-30,,,,99.2215,,,100
KRW,2016-07-30,,,,59.6732,,,1000
KZT,2016-07-30,,,,19.0273,,,100
MDL,2016-07-30,,,,33.968,,,10
NOK,2016-07-30,,,,78.362,,,10
PLN,2016-07-30,,,,17.0367,,,1
RON,2016-07-30,,,,16.6574,,,1
SEK,2016-07-30,,,,77.6307,,,10
SGD,2016-07-30,,,,49.6051,,,1
TJS,2016-07-30,,,,85.2526,,,10
TMT,2016-07-30,,,,19.9587,,,1
TRY,2016-07-30,,,,22.2436,,,1
UAH,2016-07-30,,,,27.0368,,,10
USD,2016-07-30,,,,67.0512,,,1
UZS,2016-07-30,,,,22.7292,,,1000
XDR,2016-07-30,,,,93.2226,,,1
ZAR,2016-07-30,,,,47.4121,,,10
AMD,2016-08-02,,,,13.8387,,,100
AUD,2016-08-02,,,,50.0733,,,1
AZN,2016-08-02,,,,41.1963,,,1
BGN,2016-08-02,,,,37.678,,,1
BRL,2016-08-02,,,,20.2989,,,1
BYN,2016-08-02,,,,33.2688,,,1
CAD,2016-08-02,,,,50.556,,,1
CHF,2016-08-02,,,,68.1075,,,1
CNY,2016-08-02,,,,99.3422,,,10
CZK,2016-08-02,,,,27.2621,,,10
DKK,2016-08-02,,,,99.0573,,,10
EUR,2016-08-02,,,,73.6523,,,1
GBP,2016-08-02,,,,87.2918,,,1
HUF,2016-08-02,,,,23.6234,,,100
INR,2016-08-02,,,,98.8465,,,100
JPY,2016-08-02,,,,64.4063,,,100
KGS,2016-08-02,,,,98.1478,,,100
KRW,2016-08-02,,,,59.6713,,,1000
KZT,2016-08-02,,,,18.7269,,,100
MDL,2016-08-02,,,,33.4129,,,10
NOK,2016-08-02,,,,78.1591,,,10
PLN,2016-08-02,,,,16.9164,,,1
RON,2016-08-02,,,,16.5281,,,1
SEK,2016-08-02,,,,77.1046,,,10
SGD,2016-08-02,,,,49.2866,,,1
TJS,2016-08-02,,,,78.8232,,,10
TMT,2016-08-02,,,,19.6325,,,1
TRY,2016-08-02,,,,22.1669,,,1
UAH,2016-08-02,,,,26.5788,,,10
USD,2016-08-02,,,,65.9553,,,1
UZS,2016-08-02,,,,22.3577,,,1000
XDR,2016-08-02,,,,91.9008,,,1
ZAR,2016-08-02,,,,47.8457,,,10
AMD,2016-08-03,,,,14.0331,,,100
AUD,2016-08-03,,,,50.5625,,,1
AZN,2016-08-03,,,,41.6916,,,1
BGN,2016-08-03,,,,38.2925,,,1
BRL,2016-08-03,,,,20.4963,,,1
BYN,2016-08-03,,,,33.5498,,,1
CAD,2016-08-03,,,,50.9807,,,1
CHF,2016-08-03,,,,69.2213,,,1
CNY,2016-08-03,,,,10.0737,,,1
CZK,2016-08-03,,,,27.7028,,,10
DKK,2016-08-03,,,,10.0704,,,1
EUR,2016-08-03,,,,74.9007,,,1
GBP,2016-08-03,,,,88.2703,,,1
HUF,2016-08-03,,,,24.0236,,,100
INR,2016-08-03,,,,10.0201,,,10
JPY,2016-08-03,,,,65.8575,,,100
KGS,2016-08-03,,,,99.5558,,,100
KRW,2016-08-03,,,,60.2694,,,1000
KZT,2016-08-03,,,,18.8934,,,100
MDL,2016-08-03,,,,33.8298,,,10
NOK,2016-08-03,,,,78.9275,,,10
PLN,2016-08-03,,,,17.2149,,,1
RON,2016-08-03,,,,16.815,,,1
SEK,2016-08-03,,,,78.1866,,,10
SGD,2016-08-03,,,,49.867,,,1
TJS,2016-08-03,,,,84.983,,,10
TMT,2016-08-03,,,,19.9082,,,1
TRY,2016-08-03,,,,22.3043,,,1
UAH,2016-08-03,,,,26.9467,,,10
USD,2016-08-03,,,,66.8816,,,1
UZS,2016-08-03,,,,22.557,,,1000
XDR,2016-08-03,,,,93.4289,,,1
ZAR,2016-08-03,,,,47.8238,,,10
AMD,2016-08-04,,,,14.0097,,,100
AUD,2016-08-04,,,,50.6238,,,1
AZN,2016-08-04,,,,41.5217,,,1
BGN,2016-08-04,,,,38.2103,,,1
BRL,2016-08-04,,,,20.4856,,,1
BYN,2016-08-04,,,,33.5421,,,1
CAD,2016-08-04,,,,50.7891,,,1
CHF,2016-08-04,,,,68.9768,,,1
CNY,2016-08-04,,,,10.0656,,,1
CZK,2016-08-04,,,,27.6399,,,10
DKK,2016-08-04,,,,10.0494,,,1
EUR,2016-08-04,,,,74.7978,,,1
GBP,2016-08-04,,,,88.927,,,1
HUF,2016-08-04,,,,24.0243,,,100
INR,2016-08-04,,,,99.6075,,,100
JPY,2016-08-04,,,,66.006,,,100
KGS,2016-08-04,,,,99.3628,,,100
KRW,2016-08-04,,,,59.7372,,,1000
KZT,2016-08-04,,,,18.8428,,,100
MDL,2016-08-04,,,,33.8105,,,10
NOK,2016-08-04,,,,79.0613,,,10
PLN,2016-08-04,,,,17.3055,,,1
RON,2016-08-04,,,,16.79,,,1
SEK,2016-08-04,,,,78.4738,,,10
SGD,2016-08-04,,,,49.7406,,,1
TJS,2016-08-04,,,,84.8056,,,10
TMT,2016-08-04,,,,19.8637,,,1
TRY,2016-08-04,,,,22.1712,,,1
UAH,2016-08-04,,,,26.9012,,,10
USD,2016-08-04,,,,66.742,,,1
UZS,2016-08-04,,,,22.4721,,,1000
XDR,2016-08-04,,,,93.3881,,,1
ZAR,2016-08-04,,,,47.4623,,,10
AMD,2016-08-05,,,,13.9454,,,100
AUD,2016-08-05,,,,50.5857,,,1
AZN,2016-08-05,,,,41.2206,,,1
BGN,2016-08-05,,,,37.8034,,,1
BRL,2016-08-05,,,,20.5154,,,1
BYN,2016-08-05,,,,33.3421,,,1
CAD,2016-08-05,,,,50.83,,,1
CHF,2016-08-05,,,,68.2155,,,1
